AQI Category,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
Moderate,1,36,0,51
Good,1,5,1,41
Moderate,1,39,2,66
Good,1,34,0,20
Good,0,22,0,6
Moderate,1,14,11,54
Moderate,1,35,3,62
Moderate,1,29,7,64
Moderate,1,41,1,54
Unhealthy for Sensitive Groups,3,89,9,142
Moderate,2,68,1,58
Good,1,24,6,41
Unhealthy,3,139,1,158
Unhealthy,1,50,1,158
Moderate,1,46,0,83
Moderate,1,30,4,59
Unhealthy,3,100,2,154
Moderate,1,47,0,55
Moderate,1,4,23,72
Unhealthy,2,71,0,161
Good,1,28,2,28
Unhealthy for Sensitive Groups,2,30,2,118
Good,0,10,1,33
Unhealthy,3,95,6,150
Unhealthy,5,0,13,154
Moderate,1,24,1,81
Moderate,1,16,2,67
Moderate,1,37,1,62
Good,1,31,0,17
Moderate,1,35,0,56
Moderate,2,22,15,77
Good,1,15,0,44
Good,1,9,2,30
Good,1,30,1,15
Moderate,3,18,5,79
Good,1,19,7,34
Moderate,1,20,5,51
Moderate,1,34,0,77
Moderate,1,32,3,61
Good,1,7,2,32
Moderate,3,64,4,64
Good,0,29,0,25
Moderate,1,23,0,51
Very Unhealthy,3,162,1,247
Good,1,32,7,45
Good,1,25,3,36
Moderate,2,81,4,56
Unhealthy for Sensitive Groups,2,15,5,124
Moderate,1,26,2,72
Moderate,0,32,1,55
Good,0,31,0,25
Unhealthy,1,89,0,157
Moderate,1,31,1,60
Unhealthy,1,40,0,153
Good,0,19,0,22
Good,1,17,0,30
Good,1,34,0,44
Good,1,37,4,47
Good,0,32,2,37
Good,1,14,8,44
Moderate,2,14,24,58
Good,0,33,0,37
Moderate,3,3,6,89
Moderate,2,38,7,52
Moderate,2,16,0,59
Moderate,1,25,6,51
Moderate,1,26,1,66
Good,1,38,0,13
Good,1,30,7,34
Moderate,2,11,20,88
Moderate,1,31,3,54
Good,1,28,3,44
Moderate,1,26,6,51
Moderate,2,15,23,67
Good,1,5,2,42
Unhealthy,2,99,1,189
Good,1,25,3,49
Very Unhealthy,5,203,5,151
Good,0,32,0,35
Moderate,1,25,2,90
Moderate,1,26,1,67
Good,0,34,1,36
Good,1,28,4,48
Good,1,28,10,41
Good,0,19,1,17
Moderate,1,43,0,73
Good,0,18,1,45
